cognate_set,language,tokens
mother,Central German (Honigberg),m e t ə ʀ
mother,Low German (Bargstedt),m ʊ ʀ e
mother,English (Lindisfarne),m ɔ ð e ʀ
mother,Dutch (Ostend),m oː d r
mother,High German (Bodensee),m œ t ə ʙ
mother,Belgian Dutch,m o d ə r
mother,Danish,m u ð ɔ
mother,Scottish,m ʌ ð ə ɹ
mother,Dutch (Limburg),m ɔ d ə χ
mother,High German (N. Alsace),m ø t ə χ
mother,Icelandic,m ɔː ð i ɹ
mother,Swedish,m o d e r
mother,Norwegian,m uː r
mother,Faroese,m oː ð i ɹ
mother,West Frisian,m o ə d ə r
mother,Afrikaans,m u ə d ə r
mother,Yiddish,m u t e r
mother,German (standard),m ʊ t ɐ
